key,key1
1001021CS1000091,1001021CS100009
1000165CS2000071,1000165CS200007
1000165CS2000171,1000165CS200017
1000162CS2000031,1000162CS200003
1001127CS1000061,1001127CS100006
1000133CS3000221,1000133CS300022
1001212CS3000181,1001212CS300018
1000162CS3000181,1000162CS300018
1000162CS1000081,1000162CS100008
1000110CS3000021,1000110CS300002
1001427CS2000071,1001427CS200007
1001232CS1000031,1001232CS100003
1001427CS1000091,1001427CS100009
1000600CS2000031,1000600CS200003
1001203CS2000061,1001203CS200006
1001127CS3000111,1001127CS300011
1000390CS3000331,1000390CS300033
1001127CS1000071,1001127CS100007
1000538CS3000331,1000538CS300033
1000516CS3000331,1000516CS300033
1000667CS1000011,1000667CS100001
1001424CS3000101,1001424CS300010
1000030CS1000011,1000030CS100001
1000868CS3000021,1000868CS300002
1000664CS2000061,1000664CS200006
1000672CS1000021,1000672CS100002
1000033CS2000161,1000033CS200016
1001424CS2000371,1001424CS200037
1000672CS3000281,1000672CS300028
1001158CS1000091,1001158CS100009
1000535CS2000061,1000535CS200006
1000065CS3000021,1000065CS300002
1000753CS1000061,1000753CS100006
1000061CS1000041,1000061CS100004
1001450CS3000161,1001450CS300016
1001092CS1000081,1001092CS100008
1001044CS1000021,1001044CS100002
1001350CS2000241,1001350CS200024
1000878CS2000301,1000878CS200030
1001152CS3000261,1001152CS300026
1000853CS3000161,1000853CS300016
1001199CS1000041,1001199CS100004
1001492CS3000191,1001492CS300019
1000136CS1000021,1000136CS100002
1000389CS1000101,1000389CS100010
1001215CS2000061,1001215CS200006
1001210CS1000051,1001210CS100005
1000048CS1000011,1000048CS100001
1001207CS1000081,1001207CS100008
1000313CS3000181,1000313CS300018
1001204CS1000031,1001204CS100003
1001208CS3000181,1001208CS300018
1001208CS1000041,1001208CS100004
1001208CS3000281,1001208CS300028
1001208CS3000211,1001208CS300021
1000131CS3000011,1000131CS300001
1000162CS2000371,1000162CS200037
1000039CS2000071,1000039CS200007
1001189CS2000301,1001189CS200030
1001192CS1000071,1001192CS100007
1000904CS1000071,1000904CS100007
1001330CS1000091,1001330CS100009
1001207CS2000061,1001207CS200006
1001276CS3000261,1001276CS300026
1000077CS1000071,1000077CS100007
1001275CS3000171,1001275CS300017
1001205CS3000141,1001205CS300014
1001277CS3000221,1001277CS300022
1000030CS1000021,1000030CS100002
1000035CS2000261,1000035CS200026
1000042CS3000181,1000042CS300018
1000222CS3000291,1000222CS300029
1001165CS3000011,1001165CS300001
1001165CS3000221,1001165CS300022
1000679CS3000041,1000679CS300004
1000060CS3000071,1000060CS300007
1001181CS2000161,1001181CS200016
1001282CS2000311,1001282CS200031
1000032CS3000021,1000032CS300002
1000032CS2000281,1000032CS200028
1000120CS2000081,1000120CS200008
1000052CS3000141,1000052CS300014
1000061CS3000041,1000061CS300004
1000112CS1000091,1000112CS100009
1000248CS3000071,1000248CS300007
1001022CS1000071,1001022CS100007
1001374CS2000061,1001374CS200006
1001022CS2000061,1001022CS200006
1001289CS1000051,1001289CS100005
1000069CS1000011,1000069CS100001
1001289CS3000171,1001289CS300017
1001195CS1000091,1001195CS100009
1001146CS3000281,1001146CS300028
1001291CS1000061,1001291CS100006
1001233CS1000081,1001233CS100008
1001172CS1000071,1001172CS100007
1001195CS1000071,1001195CS100007
1000112CS1000021,1000112CS100002
1000114CS1000061,1000114CS100006
1000121CS1000031,1000121CS100003
1000099CS2000081,1000099CS200008
1001190CS1000101,1001190CS100010
1000677CS1000051,1000677CS100005
1000150CS3000181,1000150CS300018
1000125CS1000091,1000125CS100009
1001332CS1000091,1001332CS100009
1000123CS1000021,1000123CS100002
1001301CS3000061,1001301CS300006
1001332CS3000011,1001332CS300001
1000126CS2000311,1000126CS200031
1000126CS3000011,1000126CS300001
1000134CS3000171,1000134CS300017
1000154CS1000061,1000154CS100006
1000153CS3000071,1000153CS300007
1000233CS1000081,1000233CS100008
1000231CS1000011,1000231CS100001
1000156CS1000091,1000156CS100009
1000163CS2000061,1000163CS200006
1001160CS2000071,1001160CS200007
1001160CS1000071,1001160CS100007
1000150CS3000021,1000150CS300002
1001160CS3000211,1001160CS300021
1001303CS3000161,1001303CS300016
1001303CS1000011,1001303CS100001
1001166CS1000021,1001166CS100002
1000719CS1000081,1000719CS100008
1001301CS1000051,1001301CS100005
1001136CS2000371,1001136CS200037
1000149CS1000041,1000149CS100004
1000151CS2000251,1000151CS200025
1000151CS1000061,1000151CS100006
1001304CS3000141,1001304CS300014
1000142CS2000061,1000142CS200006
1000228CS2000371,1000228CS200037
1000252CS3000011,1000252CS300001
1001332CS1000021,1001332CS100002
1000233CS3000171,1000233CS300017
1000278CS1000031,1000278CS100003
1001356CS2000281,1001356CS200028
1000901CS3000281,1000901CS300028
1000341CS3000181,1000341CS300018
1000744CS1000101,1000744CS100010
1000233CS2000171,1000233CS200017
1001333CS3000221,1001333CS300022
1000241CS3000011,1000241CS300001
1000237CS3000181,1000237CS300018
1000292CS3000221,1000292CS300022
1001442CS1000011,1001442CS100001
1001339CS3000021,1001339CS300002
1001336CS3000151,1001336CS300015
1001335CS1000081,1001335CS100008
1001330CS3000221,1001330CS300022
1000224CS3000161,1000224CS300016
1000755CS3000111,1000755CS300011
1000240CS2000281,1000240CS200028
1000243CS3000221,1000243CS300022
1000266CS1000011,1000266CS100001
1000289CS1000101,1000289CS100010
1000758CS2000081,1000758CS200008
1001351CS2000061,1001351CS200006
1000305CS2000191,1000305CS200019
1001353CS3000111,1001353CS300011
1001208CS1000071,1001208CS100007
1001340CS2000371,1001340CS200037
1001444CS3000101,1001444CS300010
1000295CS2000281,1000295CS200028
1000295CS3000071,1000295CS300007
1000303CS3000281,1000303CS300028
1000302CS2000371,1000302CS200037
1000299CS1000051,1000299CS100005
1000288CS1000021,1000288CS100002
1000269CS1000051,1000269CS100005
1000271CS2000031,1000271CS200003
1000290CS1000081,1000290CS100008
1000271CS2000341,1000271CS200034
