시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
서울특별시 성동구 홍익동,119-1,119,1,홍익한신,78.74,202309,8,"62,000",2,1975,마장로 219
서울특별시 서대문구 홍제동,156-200,156,200,고은,62.48,202308,21,"51,000",2,1975,모래내로 453
서울특별시 강북구 수유동,461-13,461,13,화계맨숀,58.51,202308,11,"18,500",2,1975,덕릉로 12
서울특별시 영등포구 신길동,3002,3002,0,남서울,48.3,202307,25,"68,000",2,1975,신길로 108
서울특별시 용산구 이촌동,300-11,300,11,왕궁,102.48,202307,19,"216,000",2,1975,이촌로88길 15
서울특별시 서초구 방배동,770-1,770,1,삼호1동~3동,80.33,202304,29,"137,500",2,1975,방배로43길 5
서울특별시 영등포구 여의도동,41,41,0,대교,95.5,202311,8,"207,500",3,1975,국제금융로7길 20
서울특별시 용산구 이촌동,302-64,302,64,장미,196.71,202310,9,"280,000",3,1975,이촌로64길 61
서울특별시 용산구 한남동,644-2,644,2,태성1,59.95,202307,22,"91,700",3,1975,대사관로24길 8
서울특별시 영등포구 여의도동,42,42,0,한양,193.03,202307,19,"298,000",3,1975,국제금융로 79
서울특별시 영등포구 여의도동,42,42,0,한양,109.42,202306,7,"199,000",3,1975,국제금융로 79
서울특별시 서대문구 홍제동,156-200,156,200,고은,63.8,202303,26,"53,000",3,1975,모래내로 453
서울특별시 영등포구 신길동,3002,3002,0,남서울,48.26,202302,13,"70,500",3,1975,신길로 108
서울특별시 성북구 정릉동,727-7,727,7,동우,49.65,202312,23,"18,600",4,1975,솔샘로5길 60
서울특별시 용산구 이촌동,302-64,302,64,장미,196.71,202310,31,"280,000",4,1975,이촌로64길 61
서울특별시 영등포구 신길동,3002,3002,0,남서울,48.26,202308,14,"78,000",4,1975,신길로 108
서울특별시 영등포구 신길동,3002,3002,0,남서울,48.3,202307,29,"66,800",4,1975,신길로 108
서울특별시 영등포구 신길동,3002,3002,0,남서울,48.26,202307,14,"65,607",4,1975,신길로 108
서울특별시 영등포구 신길동,3002,3002,0,남서울,48.26,202307,14,"66,000",4,1975,신길로 108
서울특별시 용산구 이촌동,301-160,301,160,현대맨숀,83.3,202306,15,"177,999",4,1975,이촌로 303
