Date,Open,High,Low,Close,Adj Close,Volume
2015-06-19,25320,25560,25200,25320,249.697815,7094750
2015-06-22,25820,25920,25520,25620,252.656311,6370900
2015-06-23,26180,26560,25820,26420,260.545654,10159000
2015-06-24,26000,26220,25820,26040,256.798218,10198000
2015-06-25,25800,26060,25380,25380,250.289536,10695800
2015-06-26,25040,25800,25040,25560,252.06459,10347500
2015-06-29,25380,25700,25120,25620,262.943604,11519950
2015-06-30,25520,25700,25320,25360,260.275177,9870350
2015-07-01,25360,26040,25180,25900,265.817291,8324900
2015-07-02,25720,26080,25700,25980,266.638397,8223000
2015-07-03,25740,25880,25340,25360,260.275177,7130200
2015-07-06,25060,25200,24460,24600,252.475143,10099950
2015-07-07,24400,25180,24400,24800,254.527786,12478250
2015-07-08,24800,25020,24640,24780,254.32254,11780950
2015-07-09,24600,25300,24520,25300,259.659424,14030500
2015-07-10,25140,25320,24960,25180,258.427826,9573400
2015-07-13,25000,25440,24900,25320,259.864655,7672050
2015-07-14,25300,25400,24420,24500,251.448837,19989700
2015-07-15,24500,24760,24480,24700,253.501465,8370650
2015-07-16,24460,25740,24460,25640,263.148895,11173450
2015-07-17,26000,26220,25560,26100,267.869965,14861650
2015-07-20,25820,26080,25460,25500,261.712067,6446400
2015-07-21,25500,25540,24940,25260,259.248871,9702750
2015-07-22,24880,25200,24700,25060,257.196228,13416150
2015-07-23,24880,25060,24680,24680,253.296204,10448250
2015-07-24,24540,24760,24480,24580,252.269867,9829200
2015-07-27,24580,24940,24560,24600,252.475143,12152000
2015-07-28,24480,25020,24380,24600,252.475143,13381350
2015-07-29,25000,25500,24620,25260,259.248871,13734450
2015-07-30,25160,25200,24300,24300,249.39621,15419600
2015-07-31,24400,24440,23500,23700,243.238235,19579450
2015-08-03,23680,23680,23320,23500,241.185562,9844550
2015-08-04,23500,23740,23400,23640,242.622421,12844350
2015-08-05,23640,23640,23160,23180,237.901352,12802500
2015-08-06,23100,23120,22300,22300,228.869736,20199050
2015-08-07,22400,22740,22300,22720,233.180313,13787100
2015-08-10,22800,22840,22600,22820,234.206635,5722500
2015-08-11,23020,23580,22960,23140,237.490829,11664300
2015-08-12,23000,23280,22800,23080,236.875015,11154000
2015-08-13,23060,23060,22760,22800,234.001358,7520550
2015-08-14,22800,22800,22800,22800,234.001358,0
2015-08-17,22800,22820,22080,22080,226.611816,11360850
2015-08-18,22360,22820,22340,22620,232.153946,11583600
2015-08-19,23380,23520,22820,23080,236.875015,20070750
2015-08-20,23260,23420,22600,22780,233.796066,10805950
2015-08-21,21980,22560,21920,22020,225.996033,20442550
2015-08-24,21760,22300,20660,21580,221.480209,22429600
2015-08-25,21580,22140,21340,21580,221.480209,19625950
2015-08-26,21360,21480,21000,21340,219.017059,27947600
2015-08-27,21640,21720,21260,21340,219.017059,24769400
2015-08-28,21720,21720,21460,21620,221.890732,23111150
2015-08-31,21420,21780,21040,21780,223.532852,20415450
2015-09-01,21780,21960,21620,21700,222.711823,12018600
2015-09-02,21380,21900,21300,21800,223.738129,15634150
2015-09-03,22040,22500,21860,22440,230.306595,15200350
2015-09-04,22440,22880,22360,22580,231.743439,12570650
2015-09-07,22580,22580,22100,22240,228.253952,9590250
2015-09-08,22260,22720,22120,22620,232.153946,9116500
2015-09-09,22920,22940,22720,22940,235.438217,12968800
2015-09-10,22600,22780,22360,22680,232.769745,18128400
2015-09-11,22520,22660,22300,22300,228.869736,10208350
2015-09-14,22400,22480,22200,22480,230.717117,8353650
2015-09-15,22280,22560,22260,22460,230.511856,11647800
2015-09-16,22420,23140,22420,23040,236.464523,17188150
2015-09-17,23060,23140,22880,23140,237.490829,13698000
2015-09-18,22900,23840,22700,23800,244.264542,21813500
2015-09-21,23260,23460,23000,23000,236.054001,10267950
2015-09-22,22860,23000,22600,22900,235.027664,12533750
2015-09-23,22880,22880,22500,22620,232.153946,9882450
2015-09-24,22520,22700,22500,22520,231.12764,6636050
2015-09-25,22400,22500,22180,22240,228.253952,10458000
2015-09-30,22000,22680,21800,22680,232.769745,22946800
2015-10-01,22800,22900,22420,22680,232.769745,12052050
2015-10-02,22240,22660,22240,22380,229.690796,13715100
2015-10-05,22380,22620,22300,22300,228.869736,12096750
2015-10-06,22600,23100,22540,23020,236.259232,19149350
2015-10-07,23960,25040,23720,25020,256.785675,39975100
2015-10-08,25000,25580,25000,25400,260.68576,28533850
2015-10-12,25200,25260,24940,25200,258.633087,18948700
2015-10-13,25200,25440,24960,25040,256.990936,9900000
2015-10-14,24960,25200,24740,25080,257.401489,8752550
2015-10-15,24880,25640,24860,25380,260.480469,12425150
2015-10-16,25300,25380,25180,25300,259.659424,7198400
2015-10-19,25140,25300,24980,25120,257.812012,5853500
2015-10-20,25200,25460,25120,25320,259.864655,7517350
2015-10-21,25300,25640,25180,25400,260.68576,6978350
2015-10-22,25600,25900,25380,25600,262.738342,11533650
2015-10-23,26000,26000,25560,25780,264.585754,13153550
2015-10-26,25960,25960,25440,25840,265.201538,7608250
2015-10-27,25640,25980,25620,25960,266.433105,6612050
2015-10-28,25880,26160,25820,26160,268.485748,13565150
2015-10-29,26600,27840,26480,26500,271.975281,31523550
2015-10-30,26900,27800,26820,27440,281.62265,25469250
2015-11-02,27700,27860,27480,27660,283.880524,19327300
2015-11-03,27620,27620,27000,27040,277.517395,15092000
2015-11-04,27040,27220,26520,26600,273.001556,14053500
2015-11-05,26600,27080,26600,26840,275.464783,8652100
2015-11-06,26860,26960,26600,26760,274.643707,8216100
2015-11-09,26760,26880,26420,26880,275.875275,9283050
2015-11-10,26720,26820,26280,26420,271.154205,9877550
2015-11-11,26420,26900,26420,26660,273.61734,7022450
2015-11-12,26660,26680,26340,26340,270.33316,7870850
2015-11-13,26340,26340,26000,26000,266.843658,8883850
2015-11-16,25820,25820,25260,25260,259.248871,13785250
2015-11-17,25500,25800,25400,25400,260.68576,9309200
2015-11-18,25440,25800,25440,25620,262.943604,8386750
2015-11-19,25800,25800,25420,25780,264.585754,9642500
2015-11-20,25780,25920,25560,25700,263.764648,8436000
2015-11-23,25700,26040,25620,25640,263.148895,9941000
2015-11-24,25640,26100,25640,25980,266.638397,7978000
2015-11-25,26000,26200,25980,25980,266.638397,7131350
2015-11-26,25980,26800,25980,26700,274.027863,9290000
2015-11-27,26900,26980,26540,26540,272.385803,8492700
2015-11-30,26500,26500,25680,25680,263.559418,26700300
2015-12-01,25880,26440,25760,26420,271.154205,12605650
